hostname,country,sector,source
www.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.fmprc.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.ndrc.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.moe.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.most.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.miit.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.mps.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.pbc.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.moj.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.mof.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.mohrss.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.customs.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.mee.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.samr.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.mot.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.mwr.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.moa.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.mofcom.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.nhc.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.beijing.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.tj.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.hebei.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.shanxi.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.nmg.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.ln.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.jl.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.hlj.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.shanghai.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.jiangsu.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.zj.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.ah.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.fujian.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.jiangxi.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.shandong.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.henan.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.hubei.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.hunan.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.gd.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.gxzf.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.hainan.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.cq.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.sc.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.guizhou.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.yn.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.xizang.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.shaanxi.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.gansu.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.qinghai.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.nx.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.xinjiang.gov.cn,China,Government,https://www.gov.cn/?tid=1
www.audit.gov.cn,China,Government,https://www.scopsr.gov.cn/zlzx/jggk/gwyjg/index.html
www.mct.gov.cn,China,Government,https://www.scopsr.gov.cn/zlzx/jggk/gwyjg/index.html
